,restaurant_cuisine,restaurant_price_range,restaurant_aggregate_rating,restaurant_id,restaurant_name,restaurant_latitude,restaurant_longitude,restaurant_address
120,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
121,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
122,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
123,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
124,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
125,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
126,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
127,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
128,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
129,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
130,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
131,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
132,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
133,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
134,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
135,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
136,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
137,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
138,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
139,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
140,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
141,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
142,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
143,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
144,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
145,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
146,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
147,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
148,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
149,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
150,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
151,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
152,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
153,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
154,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
155,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
156,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
157,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
158,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
159,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
160,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
161,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
162,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
163,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
164,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
165,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
166,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
167,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
168,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
169,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
170,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
171,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
172,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
173,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
174,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
